treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,STACK,15,5,SINGLE_VARIANCE,lhs,comma,off,random,0.22597092,0.33748679,200160,953,,,
baseline,STACK,15,6,SINGLE_VARIANCE,lhs,comma,off,random,0.26889797,0.21163103,200160,953,,,
baseline,STACK,15,7,SINGLE_VARIANCE,lhs,comma,off,random,0.11318446,0.66815996,200160,953,,,
baseline,STACK,15,8,SINGLE_VARIANCE,lhs,comma,off,random,0.25665615,0.24752223,200160,953,,,
baseline,STACK,15,9,SINGLE_VARIANCE,lhs,comma,off,random,0.11644211,0.65860901,200160,953,,,
baseline,STACK,15,10,SINGLE_VARIANCE,lhs,comma,off,random,0.15496629,0.54566182,200160,953,,,
baseline,STACK,15,11,SINGLE_VARIANCE,lhs,comma,off,random,0.26184093,0.23232123,200160,953,,,
baseline,STACK,15,12,SINGLE_VARIANCE,lhs,comma,off,random,0.12480732,0.63408345,200160,953,,,
baseline,STACK,15,13,SINGLE_VARIANCE,lhs,comma,off,random,0.12984473,0.61931451,200160,953,,,
baseline,STACK,15,14,SINGLE_VARIANCE,lhs,comma,off,random,0.11953723,0.64953458,200160,953,,,
baseline,STACK,15,15,SINGLE_VARIANCE,lhs,comma,off,random,0.13241402,0.61178175,200160,953,,,
baseline,STACK,15,16,SINGLE_VARIANCE,lhs,comma,off,random,0.25320676,0.25763534,200160,953,,,
baseline,STACK,15,17,SINGLE_VARIANCE,lhs,comma,off,random,0.2873405,0.15756029,200160,953,,,
baseline,STACK,15,18,SINGLE_VARIANCE,lhs,comma,off,random,0.13536264,0.60313682,200160,953,,,
baseline,STACK,15,19,SINGLE_VARIANCE,lhs,comma,off,random,0.15102975,0.55720318,200160,953,,,
baseline,STACK,15,20,SINGLE_VARIANCE,lhs,comma,off,random,0.14879743,0.563748,200160,953,,,
