variant,n_circles,seed,evaluations,best_fitness
+clip+f-polish,7,0,26700,0.51711043
+clip+f-polish,7,0,26910,0.51711264
+clip+f-polish,7,0,27120,0.51711578
+clip+f-polish,7,0,27330,0.51711644
+clip+f-polish,7,0,27540,0.51711669
+clip+f-polish,7,0,27750,0.51711732
+clip+f-polish,7,0,27960,0.51711814
+clip+f-polish,7,0,28170,0.51711883
+clip+f-polish,7,0,28380,0.51712005
+clip+f-polish,7,0,28590,0.51712005
+clip+f-polish,7,0,28800,0.51712005
+clip+f-polish,7,0,29010,0.51712191
+clip+f-polish,7,0,29220,0.51712191
+clip+f-polish,7,0,29430,0.51712242
+clip+f-polish,7,0,29640,0.51712456
+clip+f-polish,7,0,29850,0.51712456
+clip+f-polish,7,0,30060,0.51712629
+clip+f-polish,7,0,30270,0.51712644
+clip+f-polish,7,0,30480,0.51712813
+clip+f-polish,7,0,30690,0.51712813
+clip+f-polish,7,0,30900,0.51713003
+clip+f-polish,7,0,31110,0.51713003
+clip+f-polish,7,0,31320,0.51713022
+clip+f-polish,7,0,31530,0.51713097
+clip+f-polish,7,0,31740,0.51713178
+clip+f-polish,7,0,31950,0.51713226
+clip+f-polish,7,0,32160,0.51713257
+clip+f-polish,7,0,32370,0.51713257
+clip+f-polish,7,0,32580,0.51713277
+clip+f-polish,7,0,32790,0.51713328
+clip+f-polish,7,0,33000,0.51713471
+clip+f-polish,7,0,33210,0.51713494
+clip+f-polish,7,0,33420,0.51713494
+clip+f-polish,7,0,33630,0.51713586
+clip+f-polish,7,0,33840,0.51713660
+clip+f-polish,7,0,34050,0.51713700
+clip+f-polish,7,0,34260,0.51713879
+clip+f-polish,7,0,34470,0.51713888
+clip+f-polish,7,0,34680,0.51714019
+clip+f-polish,7,0,34890,0.51714146
+clip+f-polish,7,0,35100,0.51714173
+clip+f-polish,7,0,35310,0.51714267
+clip+f-polish,7,0,35520,0.51714267
+clip+f-polish,7,0,35730,0.51714302
+clip+f-polish,7,0,35940,0.51714345
+clip+f-polish,7,0,36150,0.51714355
+clip+f-polish,7,0,36360,0.51714389
+clip+f-polish,7,0,36570,0.51714437
+clip+f-polish,7,0,36780,0.51714496
+clip+f-polish,7,0,36990,0.51714612
+clip+f-polish,7,0,37200,0.51714612
+clip+f-polish,7,0,37410,0.51714617
+clip+f-polish,7,0,37620,0.51714617
+clip+f-polish,7,0,37830,0.51714617
+clip+f-polish,7,0,38040,0.51714639
+clip+f-polish,7,0,38250,0.51714661
+clip+f-polish,7,0,38460,0.51714678
+clip+f-polish,7,0,38670,0.51714678
+clip+f-polish,7,0,38880,0.51714695
+clip+f-polish,7,0,39090,0.51714712
+clip+f-polish,7,0,39300,0.51714712
+clip+f-polish,7,0,39510,0.51714778
+clip+f-polish,7,0,39720,0.51714778
+clip+f-polish,7,0,39930,0.51714786
+clip+f-polish,7,0,40140,0.51714786
+clip+f-polish,7,0,40350,0.51714786
+clip+f-polish,7,0,40560,0.51714792
+clip+f-polish,7,0,40770,0.51714815
+clip+f-polish,7,0,40980,0.51714815
+clip+f-polish,7,0,41190,0.51714824
+clip+f-polish,7,0,41400,0.51714824
+clip+f-polish,7,0,41610,0.51714833
+clip+f-polish,7,0,41820,0.51714833
+clip+f-polish,7,0,42030,0.51714834
+clip+f-polish,7,0,42240,0.51714836
+clip+f-polish,7,0,42450,0.51714836
+clip+f-polish,7,0,42660,0.51714839
+clip+f-polish,7,0,42870,0.51714841
+clip+f-polish,7,0,43080,0.51714841
+clip+f-polish,7,0,43290,0.51714844
+clip+f-polish,7,0,43500,0.51714850
+clip+f-polish,7,0,43710,0.51714850
+clip+f-polish,7,0,43920,0.51714852
+clip+f-polish,7,0,44130,0.51714852
+clip+f-polish,7,0,44340,0.51714854
+clip+f-polish,7,0,44550,0.51714861
+clip+f-polish,7,0,44760,0.51714863
+clip+f-polish,7,0,44970,0.51714865
+clip+f-polish,7,0,45180,0.51714865
+clip+f-polish,7,0,45390,0.51714867
+clip+f-polish,7,0,45600,0.51714872
+clip+f-polish,7,0,45810,0.51714877
+clip+f-polish,7,0,46020,0.51714877
+clip+f-polish,7,0,46230,0.51714877
+clip+f-polish,7,0,46440,0.51714880
+clip+f-polish,7,0,46650,0.51714885
+clip+f-polish,7,0,46860,0.51714891
+clip+f-polish,7,0,47070,0.51714896
+clip+f-polish,7,0,47280,0.51714897
+clip+f-polish,7,0,47490,0.51714899
+clip+f-polish,7,0,47700,0.51714899
+clip+f-polish,7,0,47910,0.51714900
+clip+f-polish,7,0,48120,0.51714900
+clip+f-polish,7,0,48330,0.51714903
+clip+f-polish,7,0,48540,0.51714908
+clip+f-polish,7,0,48750,0.51714908
+clip+f-polish,7,0,48960,0.51714909
+clip+f-polish,7,0,49170,0.51714911
+clip+f-polish,7,0,49380,0.51714915
+clip+f-polish,7,0,49590,0.51714915
+clip+f-polish,7,0,49800,0.51714917
+clip+f-polish,7,0,50010,0.51714922
+clip+f-polish,7,0,50220,0.51714922
+clip+f-polish,7,0,50430,0.51714922
+clip+f-polish,7,0,50640,0.51714928
+clip+f-polish,7,0,50850,0.51714930
+clip+f-polish,7,0,51060,0.51714930
+clip+f-polish,7,0,51270,0.51714936
+clip+f-polish,7,0,51480,0.51714946
+clip+f-polish,7,0,51690,0.51714946
+clip+f-polish,7,0,51900,0.51714946
+clip+f-polish,7,0,52110,0.51714946
+clip+f-polish,7,0,52320,0.51714948
+clip+f-polish,7,0,52530,0.51714948
+clip+f-polish,7,0,52740,0.51714951
+clip+f-polish,7,0,52950,0.51714955
+clip+f-polish,7,0,53160,0.51714958
+clip+f-polish,7,0,53370,0.51714958
+clip+f-polish,7,0,53580,0.51714960
+clip+f-polish,7,0,53790,0.51714962
+clip+f-polish,7,0,54000,0.51714964
+clip+f-polish,7,0,54210,0.51714965
+clip+f-polish,7,0,54420,0.51714966
+clip+f-polish,7,0,54630,0.51714969
+clip+f-polish,7,0,54840,0.51714973
+clip+f-polish,7,0,55050,0.51714973
+clip+f-polish,7,0,55260,0.51714977
+clip+f-polish,7,0,55470,0.51714977
+clip+f-polish,7,0,55680,0.51714977
+clip+f-polish,7,0,55890,0.51714986
+clip+f-polish,7,0,56100,0.51714986
+clip+f-polish,7,0,56310,0.51714988
+clip+f-polish,7,0,56520,0.51714990
+clip+f-polish,7,0,56730,0.51714990
+clip+f-polish,7,0,56940,0.51714996
+clip+f-polish,7,0,57150,0.51714996
+clip+f-polish,7,0,57360,0.51715000
+clip+f-polish,7,0,57570,0.51715001
+clip+f-polish,7,0,57780,0.51715001
+clip+f-polish,7,0,57990,0.51715004
+clip+f-polish,7,0,58200,0.51715008
+clip+f-polish,7,0,58410,0.51715008
+clip+f-polish,7,0,58620,0.51715008
+clip+f-polish,7,0,58830,0.51715008
+clip+f-polish,7,0,59040,0.51715015
+clip+f-polish,7,0,59250,0.51715015
+clip+f-polish,7,0,59460,0.51715021
+clip+f-polish,7,0,59670,0.51715021
+clip+f-polish,7,0,59880,0.51715023
+clip+f-polish,7,0,60090,0.51715025
+clip+f-polish,7,0,60300,0.51715025
+clip+f-polish,7,0,60510,0.51715026
+clip+f-polish,7,0,60720,0.51715035
+clip+f-polish,7,0,60930,0.51715035
+clip+f-polish,7,0,61140,0.51715035
+clip+f-polish,7,0,61350,0.51715037
+clip+f-polish,7,0,61560,0.51715037
+clip+f-polish,7,0,61770,0.51715039
+clip+f-polish,7,0,61980,0.51715044
+clip+f-polish,7,0,62190,0.51715045
+clip+f-polish,7,0,62400,0.51715046
