treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B-no_lhs,WP1,10,6,SINGLE_VARIANCE,uniform,comma,random,0.37535536,0.10901119,100200,477,,,
B-no_lhs,WP1,10,7,SINGLE_VARIANCE,uniform,comma,random,0.3353745,0.20391459,100200,477,,,
B-no_lhs,WP1,10,8,SINGLE_VARIANCE,uniform,comma,random,0.1692841,0.59816682,100200,477,,,
B-no_lhs,WP1,10,9,SINGLE_VARIANCE,uniform,comma,random,0.3496381,0.17005678,100200,477,,,
B-no_lhs,WP1,15,0,SINGLE_VARIANCE,uniform,comma,random,0.11902735,0.65102946,100200,477,,,
B-no_lhs,WP1,15,1,SINGLE_VARIANCE,uniform,comma,random,0.13136582,0.61485491,100200,477,,,
B-no_lhs,WP1,15,2,SINGLE_VARIANCE,uniform,comma,random,0.12749866,0.62619284,100200,477,,,
B-no_lhs,WP1,15,3,SINGLE_VARIANCE,uniform,comma,random,0.26893495,0.21152264,100200,477,,,
B-no_lhs,WP1,15,4,SINGLE_VARIANCE,uniform,comma,random,0.25322022,0.25759587,100200,477,,,
B-no_lhs,WP1,15,5,SINGLE_VARIANCE,uniform,comma,random,0.13167933,0.61393574,100200,477,,,
B-no_lhs,WP1,15,6,SINGLE_VARIANCE,uniform,comma,random,0.13816036,0.59493433,100200,477,,,
B-no_lhs,WP1,15,7,SINGLE_VARIANCE,uniform,comma,random,0.13339944,0.60889263,100200,477,,,
B-no_lhs,WP1,15,8,SINGLE_VARIANCE,uniform,comma,random,0.13983832,0.59001479,100200,477,,,
B-no_lhs,WP1,15,9,SINGLE_VARIANCE,uniform,comma,random,0.12331381,0.63846221,100200,477,,,
B-no_lhs,WP1,20,0,SINGLE_VARIANCE,uniform,comma,random,0.08870406,0.69050783,100200,477,,,
B-no_lhs,WP1,20,1,SINGLE_VARIANCE,uniform,comma,random,0.08779461,0.69368095,100200,477,,,
B-no_lhs,WP1,20,2,SINGLE_VARIANCE,uniform,comma,random,0.09667476,0.66269773,100200,477,,,
B-no_lhs,WP1,20,3,SINGLE_VARIANCE,uniform,comma,random,0.10354758,0.63871817,100200,477,,,
B-no_lhs,WP1,20,4,SINGLE_VARIANCE,uniform,comma,random,0.09564196,0.6663012,100200,477,,,
B-no_lhs,WP1,20,5,SINGLE_VARIANCE,uniform,comma,random,0.0872239,0.69567216,100200,477,,,
B-no_lhs,WP1,20,6,SINGLE_VARIANCE,uniform,comma,random,0.10416821,0.63655279,100200,477,,,
B-no_lhs,WP1,20,7,SINGLE_VARIANCE,uniform,comma,random,0.09776661,0.65888823,100200,477,,,
B-no_lhs,WP1,20,8,SINGLE_VARIANCE,uniform,comma,random,0.1050354,0.63352712,100200,477,,,
B-no_lhs,WP1,20,9,SINGLE_VARIANCE,uniform,comma,random,0.09647292,0.66340195,100200,477,,,
B-repair_clip,WP3,7,0,SINGLE_VARIANCE,lhs,comma,clip,0.51715452,0.03497652,100200,477,,,
B-repair_clip,WP3,7,1,SINGLE_VARIANCE,lhs,comma,clip,0.53097347,0.00919002,100200,477,9900,,
B-repair_clip,WP3,7,2,SINGLE_VARIANCE,lhs,comma,clip,0.53535012,0.00102307,100200,477,6330,11370,
B-repair_clip,WP3,7,3,SINGLE_VARIANCE,lhs,comma,clip,0.51728268,0.03473738,100200,477,,,
B-repair_clip,WP3,7,4,SINGLE_VARIANCE,lhs,comma,clip,0.51933841,0.03090134,100200,477,,,
B-repair_clip,WP3,7,5,SINGLE_VARIANCE,lhs,comma,clip,0.52616394,0.01816471,100200,477,15570,,
B-repair_clip,WP3,7,6,SINGLE_VARIANCE,lhs,comma,clip,0.53368427,0.00413159,100200,477,8010,,
B-repair_clip,WP3,7,7,SINGLE_VARIANCE,lhs,comma,clip,0.511844,0.04488609,100200,477,,,
B-repair_clip,WP3,7,8,SINGLE_VARIANCE,lhs,comma,clip,0.50017466,0.06666138,100200,477,,,
B-repair_clip,WP3,7,9,SINGLE_VARIANCE,lhs,comma,clip,0.5084562,0.05120782,100200,477,,,
