treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP1,15,7,SINGLE_VARIANCE,lhs,comma,random,0.1099413,0.67766843,100200,477,,,
baseline,WP1,15,8,SINGLE_VARIANCE,lhs,comma,random,0.25664397,0.24755796,100200,477,,,
baseline,WP1,15,9,SINGLE_VARIANCE,lhs,comma,random,0.13393853,0.60731211,100200,477,,,
baseline,WP1,15,10,SINGLE_VARIANCE,lhs,comma,random,0.12214837,0.64187911,100200,477,,,
baseline,WP1,15,11,SINGLE_VARIANCE,lhs,comma,random,0.26182743,0.23236082,100200,477,,,
baseline,WP1,15,12,SINGLE_VARIANCE,lhs,comma,random,0.1226486,0.6404125,100200,477,,,
baseline,WP1,15,13,SINGLE_VARIANCE,lhs,comma,random,0.13924099,0.59176606,100200,477,,,
baseline,WP1,15,14,SINGLE_VARIANCE,lhs,comma,random,0.13008253,0.61861733,100200,477,,,
baseline,WP1,15,15,SINGLE_VARIANCE,lhs,comma,random,0.12917571,0.62127598,100200,477,,,
baseline,WP1,15,16,SINGLE_VARIANCE,lhs,comma,random,0.25319488,0.25767018,100200,477,,,
baseline,WP1,15,17,SINGLE_VARIANCE,lhs,comma,random,0.28732792,0.15759717,100200,477,,,
baseline,WP1,15,18,SINGLE_VARIANCE,lhs,comma,random,0.12020796,0.6475681,100200,477,,,
baseline,WP1,15,19,SINGLE_VARIANCE,lhs,comma,random,0.12445126,0.63512738,100200,477,,,
baseline,WP1,15,20,SINGLE_VARIANCE,lhs,comma,random,0.1200628,0.64799367,100200,477,,,
baseline,WP1,15,21,SINGLE_VARIANCE,lhs,comma,random,0.12706146,0.62747466,100200,477,,,
baseline,WP1,15,22,SINGLE_VARIANCE,lhs,comma,random,0.11836371,0.65297517,100200,477,,,
baseline,WP1,15,23,SINGLE_VARIANCE,lhs,comma,random,0.10880545,0.68099856,100200,477,,,
baseline,WP1,15,24,SINGLE_VARIANCE,lhs,comma,random,0.11681662,0.657511,100200,477,,,
baseline,WP1,20,0,SINGLE_VARIANCE,lhs,comma,random,0.10832512,0.62204916,100200,477,,,
baseline,WP1,20,1,SINGLE_VARIANCE,lhs,comma,random,0.09052691,0.68414785,100200,477,,,
baseline,WP1,20,2,SINGLE_VARIANCE,lhs,comma,random,0.10270822,0.64164673,100200,477,,,
baseline,WP1,20,3,SINGLE_VARIANCE,lhs,comma,random,0.09554944,0.66662401,100200,477,,,
baseline,WP1,20,4,SINGLE_VARIANCE,lhs,comma,random,0.10161189,0.64547187,100200,477,,,
baseline,WP1,20,5,SINGLE_VARIANCE,lhs,comma,random,0.09723169,0.66075459,100200,477,,,
baseline,WP1,20,6,SINGLE_VARIANCE,lhs,comma,random,0.09178534,0.67975713,100200,477,,,
baseline,WP1,20,7,SINGLE_VARIANCE,lhs,comma,random,0.14899417,0.48015314,100200,477,,,
baseline,WP1,20,8,SINGLE_VARIANCE,lhs,comma,random,0.1056125,0.63151358,100200,477,,,
baseline,WP1,20,9,SINGLE_VARIANCE,lhs,comma,random,0.1183782,0.58697352,100200,477,,,
baseline,WP1,20,10,SINGLE_VARIANCE,lhs,comma,random,0.1081551,0.62264233,100200,477,,,
baseline,WP1,20,11,SINGLE_VARIANCE,lhs,comma,random,0.10468306,0.63475644,100200,477,,,
baseline,WP1,20,12,SINGLE_VARIANCE,lhs,comma,random,0.21254019,0.25843843,100200,477,,,
baseline,WP1,20,13,SINGLE_VARIANCE,lhs,comma,random,0.09527143,0.667594,100200,477,,,
baseline,WP1,20,14,SINGLE_VARIANCE,lhs,comma,random,0.10262361,0.64194195,100200,477,,,
baseline,WP1,20,15,SINGLE_VARIANCE,lhs,comma,random,0.0911133,0.68210192,100200,477,,,
baseline,WP1,20,16,SINGLE_VARIANCE,lhs,comma,random,0.0892808,0.68849557,100200,477,,,
baseline,WP1,20,17,SINGLE_VARIANCE,lhs,comma,random,0.10828504,0.62218899,100200,477,,,
baseline,WP1,20,18,SINGLE_VARIANCE,lhs,comma,random,0.1207543,0.57868323,100200,477,,,
baseline,WP1,20,19,SINGLE_VARIANCE,lhs,comma,random,0.08276896,0.71121566,100200,477,,,
baseline,WP1,20,20,SINGLE_VARIANCE,lhs,comma,random,0.08737508,0.69514469,100200,477,,,
baseline,WP1,20,21,SINGLE_VARIANCE,lhs,comma,random,0.10446979,0.63550053,100200,477,,,
baseline,WP1,20,22,SINGLE_VARIANCE,lhs,comma,random,0.09805365,0.65788674,100200,477,,,
baseline,WP1,20,23,SINGLE_VARIANCE,lhs,comma,random,0.2021395,0.29472685,100200,477,,,
baseline,WP1,20,24,SINGLE_VARIANCE,lhs,comma,random,0.1057729,0.63095396,100200,477,,,
B+final_polish,WP5,7,0,SINGLE_VARIANCE,lhs,comma,random,0.52346191,0.02320678,100200,477,,,
B+final_polish,WP5,7,1,SINGLE_VARIANCE,lhs,comma,random,0.52127187,0.02729344,100200,477,,,
B+final_polish,WP5,7,2,SINGLE_VARIANCE,lhs,comma,random,0.50248115,0.0623574,100200,477,,,
B+final_polish,WP5,7,3,SINGLE_VARIANCE,lhs,comma,random,0.51468215,0.03959003,100200,477,,,
B+final_polish,WP5,7,4,SINGLE_VARIANCE,lhs,comma,random,0.519156,0.03124172,100200,477,,,
B+final_polish,WP5,7,5,SINGLE_VARIANCE,lhs,comma,random,0.50698873,0.05394615,100200,477,,,
B+final_polish,WP5,7,6,SINGLE_VARIANCE,lhs,comma,random,0.51728642,0.03473039,100200,477,,,
B+final_polish,WP5,7,7,SINGLE_VARIANCE,lhs,comma,random,0.50380165,0.05989333,100200,477,,,
B+final_polish,WP5,7,8,SINGLE_VARIANCE,lhs,comma,random,0.49045183,0.08480442,100200,477,,,
B+final_polish,WP5,7,9,SINGLE_VARIANCE,lhs,comma,random,0.52402096,0.02216358,100200,477,,,
B+final_polish,WP5,7,10,SINGLE_VARIANCE,lhs,comma,random,0.51180243,0.04496366,100200,477,,,
B+final_polish,WP5,7,11,SINGLE_VARIANCE,lhs,comma,random,0.50043834,0.06616935,100200,477,,,
B+final_polish,WP5,7,12,SINGLE_VARIANCE,lhs,comma,random,0.50639543,0.05505326,100200,477,,,
B+final_polish,WP5,7,13,SINGLE_VARIANCE,lhs,comma,random,0.50790964,0.0522277,100200,477,,,
