init_scheme,n_circles,seed,final_best,final_gap
lhs,15,18,0.12020796,0.6475681
lhs,15,19,0.12445126,0.63512738
lhs,15,20,0.1200628,0.64799367
lhs,15,21,0.12706146,0.62747466
lhs,15,22,0.11836371,0.65297517
lhs,15,23,0.10880545,0.68099856
lhs,15,24,0.11681662,0.657511
lhs,20,0,0.10832512,0.62204916
lhs,20,1,0.09052691,0.68414785
lhs,20,2,0.10270822,0.64164673
lhs,20,3,0.09554944,0.66662401
lhs,20,4,0.10161189,0.64547187
lhs,20,5,0.09723169,0.66075459
lhs,20,6,0.09178534,0.67975713
lhs,20,7,0.14899417,0.48015314
lhs,20,8,0.1056125,0.63151358
lhs,20,9,0.1183782,0.58697352
lhs,20,10,0.1081551,0.62264233
lhs,20,11,0.10468306,0.63475644
lhs,20,12,0.21254019,0.25843843
lhs,20,13,0.09527143,0.667594
lhs,20,14,0.10262361,0.64194195
lhs,20,15,0.0911133,0.68210192
lhs,20,16,0.0892808,0.68849557
lhs,20,17,0.10828504,0.62218899
lhs,20,18,0.1207543,0.57868323
lhs,20,19,0.08276896,0.71121566
lhs,20,20,0.08737508,0.69514469
lhs,20,21,0.10446979,0.63550053
lhs,20,22,0.09805365,0.65788674
lhs,20,23,0.2021395,0.29472685
lhs,20,24,0.1057729,0.63095396
warm,7,0,0.51007866,0.04818027
warm,7,1,0.51347686,0.04183913
warm,7,2,0.50886031,0.05045373
warm,7,3,0.50152028,0.06415041
warm,7,4,0.51384228,0.04115725
warm,7,5,0.50030165,0.06642442
warm,7,6,0.50205339,0.06315563
warm,7,7,0.50405353,0.05942331
warm,7,8,0.52818839,0.01438705
warm,7,9,0.48898073,0.08754953
warm,7,10,0.52162692,0.02663092
warm,7,11,0.51618298,0.03678944
warm,7,12,0.51645497,0.0362819
warm,7,13,0.51727564,0.03475052
warm,7,14,0.51310655,0.04253013
warm,7,15,0.50234213,0.06261682
warm,7,16,0.52370758,0.02274836
warm,7,17,0.50629067,0.05524875
warm,7,18,0.50398454,0.05955204
warm,7,19,0.51171882,0.04511968
warm,7,20,0.51207948,0.04444669
warm,7,21,0.53262384,0.00611039
warm,7,22,0.27638096,0.4842661
warm,7,23,0.52107959,0.02765224
warm,7,24,0.50181313,0.06360396
warm,10,0,0.35307886,0.16188939
warm,10,1,0.37171367,0.11765553
warm,10,2,0.37148982,0.11818689
warm,10,3,0.39564366,0.06085243
warm,10,4,0.37080449,0.11981367
warm,10,5,0.37849293,0.10156347
warm,10,6,0.35456868,0.15835296
warm,10,7,0.3712528,0.11874952
warm,10,8,0.37526624,0.10922273
