n_circles,run_id,strategy,selection_scheme,archive_mode,population_size,num_children,best_fitness,optimum,gap,gap_pct,success,evaluations_used,wall_time_s,trace_len
5,0,SINGLE_VARIANCE,comma,off,30,7,0.6757570289288051,0.7071067811865476,0.0313497522577425,4.433524481993601,False,100200,0.9337730000261217,477
5,1,SINGLE_VARIANCE,comma,off,30,7,0.6502660551123239,0.7071067811865476,0.056840726074223635,8.038492570930106,False,100200,0.8926063000690192,477
5,2,SINGLE_VARIANCE,comma,off,30,7,0.6525608561435999,0.7071067811865476,0.05454592504294764,7.71395869679228,False,100200,0.8903528000228107,477
5,3,SINGLE_VARIANCE,comma,off,30,7,0.6415055075089424,0.7071067811865476,0.06560127367760515,9.277421094381832,False,100200,0.9318874999880791,477
5,4,SINGLE_VARIANCE,comma,off,30,7,0.6511427800053072,0.7071067811865476,0.05596400118124034,7.9145049475174,False,100200,0.9351074999431148,477
5,5,SINGLE_VARIANCE,comma,off,30,7,0.6295014581551545,0.7071067811865476,0.07760532303139311,10.975050034334124,False,100200,0.9558940000133589,477
5,6,SINGLE_VARIANCE,comma,off,30,7,0.605560987704458,0.7071067811865476,0.10154579348208959,14.360743834430853,False,100200,0.9574914999539033,477
5,7,SINGLE_VARIANCE,comma,off,30,7,0.587727690616789,0.7071067811865476,0.1193790905697586,16.882752894751864,False,100200,0.9146265001036227,477
5,8,SINGLE_VARIANCE,comma,off,30,7,0.6256206530836372,0.7071067811865476,0.08148612810291034,11.52387875084072,False,100200,0.9333197000669315,477
5,9,SINGLE_VARIANCE,comma,off,30,7,0.6588618090131131,0.7071067811865476,0.048244972173434486,6.822869396398362,False,100200,0.9431449000257999,477
5,10,SINGLE_VARIANCE,comma,off,30,7,0.6119194210923703,0.7071067811865476,0.09518736009417728,13.461525561167702,False,100200,0.8958948999643326,477
5,11,SINGLE_VARIANCE,comma,off,30,7,0.6242669463755315,0.7071067811865476,0.08283983481101609,11.715321789448579,False,100200,0.9219630999723449,477
5,12,SINGLE_VARIANCE,comma,off,30,7,0.7015754695197276,0.7071067811865476,0.005531311666819971,0.7822455976929333,False,100200,0.8959125999826938,477
5,13,SINGLE_VARIANCE,comma,off,30,7,0.6940753972457235,0.7071067811865476,0.013031383940824037,1.8429159905604304,False,100200,0.8348817999940366,477
5,14,SINGLE_VARIANCE,comma,off,30,7,0.6537388529932509,0.7071067811865476,0.05336792819329672,7.547364784671369,False,100200,0.8970771000022069,477
5,15,SINGLE_VARIANCE,comma,off,30,7,0.62032145289111,0.7071067811865476,0.08678532829543761,12.273298829040938,False,100200,0.9530736999586225,477
5,16,SINGLE_VARIANCE,comma,off,30,7,0.5991235683484232,0.7071067811865476,0.1079832128381244,15.271132410429603,False,100200,0.894118299940601,477
5,17,SINGLE_VARIANCE,comma,off,30,7,0.706142694057463,0.7071067811865476,0.0009640871290845787,0.1363425093260752,False,100200,0.914002800011076,477
5,18,SINGLE_VARIANCE,comma,off,30,7,0.6157403296825614,0.7071067811865476,0.09136645150398615,12.921167486284086,False,100200,0.9702205000212416,477
5,19,SINGLE_VARIANCE,comma,off,30,7,0.5690944370853807,0.7071067811865476,0.13801234410116692,19.517892880277266,False,100200,0.8971952999709174,477
5,20,SINGLE_VARIANCE,comma,off,30,7,0.6237946048764723,0.7071067811865476,0.08331217631007526,11.78212096485269,False,100200,0.9148797000525519,477
5,21,SINGLE_VARIANCE,comma,off,30,7,0.6771597919538171,0.7071067811865476,0.029946989232730425,4.235143832516841,False,100200,0.9042817999143153,477
5,22,SINGLE_VARIANCE,comma,off,30,7,0.6192412241939012,0.7071067811865476,0.08786555699264642,12.42606623644667,False,100200,0.9317869000369683,477
5,23,SINGLE_VARIANCE,comma,off,30,7,0.6208847447616908,0.7071067811865476,0.08622203642485682,12.193637328745952,False,100200,0.8545864999759942,477
5,24,SINGLE_VARIANCE,comma,off,30,7,0.6346547252628397,0.7071067811865476,0.07245205592370785,10.246268010912157,False,100200,0.8801225000061095,477
5,0,SINGLE_VARIANCE,plus,off,30,7,0.6251897539016634,0.7071067811865476,0.08191702728488415,11.584817097557004,False,100200,0.9466465999139473,477
5,1,SINGLE_VARIANCE,plus,off,30,7,0.7068462767628108,0.7071067811865476,0.00026050442373681815,0.03684088891067958,False,100200,0.9629979999735951,477
5,2,SINGLE_VARIANCE,plus,off,30,7,0.688260615113289,0.7071067811865476,0.01884616607325862,2.665250365953803,False,100200,0.9653421000111848,477
5,3,SINGLE_VARIANCE,plus,off,30,7,0.6431659862652516,0.7071067811865476,0.06394079492129601,9.042593936661353,False,100200,1.0206831999821588,477
5,4,SINGLE_VARIANCE,plus,off,30,7,0.5923310113185993,0.7071067811865476,0.11477576986794824,16.23174503790656,False,100200,0.9738521999679506,477
5,5,SINGLE_VARIANCE,plus,off,30,7,0.6540514344821227,0.7071067811865476,0.05305534670442491,7.50315908658044,False,100200,0.9869584999978542,477
5,6,SINGLE_VARIANCE,plus,off,30,7,0.635597540654677,0.7071067811865476,0.07150924053187058,10.112933779517121,False,100200,0.9766070999903604,477
5,7,SINGLE_VARIANCE,plus,off,30,7,0.6144517731102063,0.7071067811865476,0.0926550080763413,13.103396904335051,False,100200,0.9515846000285819,477
5,8,SINGLE_VARIANCE,plus,off,30,7,0.6332812185090226,0.7071067811865476,0.07382556267752494,10.440511198838074,False,100200,0.9782656999304891,477
5,9,SINGLE_VARIANCE,plus,off,30,7,0.6020373398006442,0.7071067811865476,0.10506944138590335,14.859062899890949,False,100200,0.9636461999034509,477
5,10,SINGLE_VARIANCE,plus,off,30,7,0.6769751127076865,0.7071067811865476,0.030131668478861062,4.261261421973519,False,100200,0.9415939000900835,477
5,11,SINGLE_VARIANCE,plus,off,30,7,0.659336417294272,0.7071067811865476,0.047770363892275625,6.755749649595417,False,100200,0.9483278000261635,477
5,12,SINGLE_VARIANCE,plus,off,30,7,0.6364359723270088,0.7071067811865476,0.0706708088595388,9.994361635303644,False,100200,0.9092737999744713,477
5,13,SINGLE_VARIANCE,plus,off,30,7,0.5974183366685752,0.7071067811865476,0.10968844451797233,15.512288587292522,False,100200,0.9346733000129461,477
5,14,SINGLE_VARIANCE,plus,off,30,7,0.6360362797149645,0.7071067811865476,0.07107050147158311,10.050886706576986,False,100200,0.9514519999502227,477
5,15,SINGLE_VARIANCE,plus,off,30,7,0.6304405554075923,0.7071067811865476,0.07666622577895532,10.84224162725564,False,100200,0.9293996000196785,477
5,16,SINGLE_VARIANCE,plus,off,30,7,0.6205387805187846,0.7071067811865476,0.08656800066776293,12.242564061187348,False,100200,0.919239699956961,477
5,17,SINGLE_VARIANCE,plus,off,30,7,0.6848086840259171,0.7071067811865476,0.02229809716063047,3.153427141967661,False,100200,0.9647188999224454,477
5,18,SINGLE_VARIANCE,plus,off,30,7,0.6442862713577935,0.7071067811865476,0.06282050982875409,8.884161699501634,False,100200,0.9311429000226781,477
5,19,SINGLE_VARIANCE,plus,off,30,7,0.6613434280814023,0.7071067811865476,0.04576335310514523,6.471915462096528,False,100200,0.9528146999655291,477
5,20,SINGLE_VARIANCE,plus,off,30,7,0.6736295656033617,0.7071067811865476,0.03347721558318584,4.734393230822933,False,100200,0.9586976000573486,477
5,21,SINGLE_VARIANCE,plus,off,30,7,0.6339763043467916,0.7071067811865476,0.07313047683975593,10.342211216959434,False,100200,0.9261681999778375,477
5,22,SINGLE_VARIANCE,plus,off,30,7,0.6358709652209671,0.7071067811865476,0.07123581596558048,10.074265706523777,False,100200,0.9847172000445426,477
5,23,SINGLE_VARIANCE,plus,off,30,7,0.6892249411698769,0.7071067811865476,0.017881840016670703,2.528874067176164,False,100200,0.9423836999339983,477
5,24,SINGLE_VARIANCE,plus,off,30,7,0.6992097351526517,0.7071067811865476,0.00789704603389585,1.116810960382017,False,100200,0.9182253000326455,477
7,0,SINGLE_VARIANCE,comma,off,30,7,0.5080268749908582,0.5358983848622454,0.0278715098713872,5.2008945461837275,False,100200,1.289792799972929,477
7,1,SINGLE_VARIANCE,comma,off,30,7,0.5087548114182672,0.5358983848622454,0.02714357344397822,5.0650597595952025,False,100200,1.254180199932307,477
7,2,SINGLE_VARIANCE,comma,off,30,7,0.5005687579185876,0.5358983848622454,0.03532962694365782,6.592598138309268,False,100200,1.2610427000327036,477
7,3,SINGLE_VARIANCE,comma,off,30,7,0.5230346330433434,0.5358983848622454,0.01286375181890198,2.4004087682049375,False,100200,1.2702623000368476,477
7,4,SINGLE_VARIANCE,comma,off,30,7,0.5113055388464942,0.5358983848622454,0.02459284601575118,4.589087541675061,False,100200,1.2612623000750318,477
7,5,SINGLE_VARIANCE,comma,off,30,7,0.5122484113764855,0.5358983848622454,0.023649973485759923,4.413145132325643,False,100200,1.2776843999745324,477
7,6,SINGLE_VARIANCE,comma,off,30,7,0.49680940087709446,0.5358983848622454,0.03908898398515093,7.294103712441472,False,100200,1.2653323999838904,477
7,7,SINGLE_VARIANCE,comma,off,30,7,0.5019442974209914,0.5358983848622454,0.033954087441253944,6.335918972769804,False,100200,1.3414896000176668,477
7,8,SINGLE_VARIANCE,comma,off,30,7,0.5051664483228747,0.5358983848622454,0.030731936539370674,5.734657428995691,False,100200,1.2565262999851257,477
7,9,SINGLE_VARIANCE,comma,off,30,7,0.5024662145986131,0.5358983848622454,0.03343217026363232,6.23852790155846,False,100200,1.214589299983345,477
7,10,SINGLE_VARIANCE,comma,off,30,7,0.5171167944134992,0.5358983848622454,0.018781590448746166,3.5046924900835523,False,100200,1.2581827000249177,477
7,11,SINGLE_VARIANCE,comma,off,30,7,0.5050895273214624,0.5358983848622454,0.030808857540782997,5.749011083267684,False,100200,1.2722792000276968,477
7,12,SINGLE_VARIANCE,comma,off,30,7,0.5131125886491034,0.5358983848622454,0.02278579621314203,4.251887457917829,False,100200,1.3030786999734119,477
7,13,SINGLE_VARIANCE,comma,off,30,7,0.4744509550696962,0.5358983848622454,0.06144742979254919,11.466246499015757,False,100200,1.3192058000713587,477
7,14,SINGLE_VARIANCE,comma,off,30,7,0.5011981877776279,0.5358983848622454,0.03470019708461747,6.475144927622291,False,100200,1.3802338000386953,477
7,15,SINGLE_VARIANCE,comma,off,30,7,0.5128702576926211,0.5358983848622454,0.023028127169624324,4.297107030009763,False,100200,1.2868320000125095,477
7,16,SINGLE_VARIANCE,comma,off,30,7,0.4884492577728334,0.5358983848622454,0.04744912708941201,8.854127653623921,False,100200,1.3300012999679893,477
7,17,SINGLE_VARIANCE,comma,off,30,7,0.5009468138963785,0.5358983848622454,0.034951570965866874,6.522051932448219,False,100200,1.2953908999916166,477
7,18,SINGLE_VARIANCE,comma,off,30,7,0.5225546565707982,0.5358983848622454,0.013343728291447143,2.4899735973037496,False,100200,1.277661900036037,477
7,19,SINGLE_VARIANCE,comma,off,30,7,0.5003828517536946,0.5358983848622454,0.03551553310855082,6.627288700950315,False,100200,1.3429006000515074,477
7,20,SINGLE_VARIANCE,comma,off,30,7,0.5215771535803487,0.5358983848622454,0.014321231281896663,2.6723781385491554,False,100200,1.2618576000677422,477
