treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B-no_lhs,WP1,7,8,MULTIPLE_VARIANCE,uniform,comma,random,0.50672445,0.05443931,100200,477,,,
B-no_lhs,WP1,7,9,MULTIPLE_VARIANCE,uniform,comma,random,0.51652223,0.03615639,100200,477,,,
B-no_lhs,WP1,10,0,MULTIPLE_VARIANCE,uniform,comma,random,0.3480017,0.17394115,100200,477,,,
B-no_lhs,WP1,10,1,MULTIPLE_VARIANCE,uniform,comma,random,0.39744288,0.05658158,100200,477,,,
B-no_lhs,WP1,10,2,MULTIPLE_VARIANCE,uniform,comma,random,0.37803085,0.10266032,100200,477,,,
B-no_lhs,WP1,10,3,MULTIPLE_VARIANCE,uniform,comma,random,0.36071581,0.14376139,100200,477,,,
B-no_lhs,WP1,10,4,MULTIPLE_VARIANCE,uniform,comma,random,0.36081624,0.143523,100200,477,,,
B-no_lhs,WP1,10,5,MULTIPLE_VARIANCE,uniform,comma,random,0.36447289,0.13484314,100200,477,,,
B-no_lhs,WP1,10,6,MULTIPLE_VARIANCE,uniform,comma,random,0.3832575,0.09025372,100200,477,,,
B-no_lhs,WP1,10,7,MULTIPLE_VARIANCE,uniform,comma,random,0.38072568,0.09626356,100200,477,,,
B-no_lhs,WP1,10,8,MULTIPLE_VARIANCE,uniform,comma,random,0.36476705,0.13414488,100200,477,,,
B-no_lhs,WP1,10,9,MULTIPLE_VARIANCE,uniform,comma,random,0.32437055,0.23003489,100200,477,,,
B-no_lhs,WP1,15,0,MULTIPLE_VARIANCE,uniform,comma,random,0.23536953,0.30993146,100200,477,,,
B-no_lhs,WP1,15,1,MULTIPLE_VARIANCE,uniform,comma,random,0.22358058,0.3444949,100200,477,,,
B-no_lhs,WP1,15,2,MULTIPLE_VARIANCE,uniform,comma,random,0.27545117,0.19241804,100200,477,,,
B-no_lhs,WP1,15,3,MULTIPLE_VARIANCE,uniform,comma,random,0.23433906,0.31295263,100200,477,,,
B-no_lhs,WP1,15,4,MULTIPLE_VARIANCE,uniform,comma,random,0.24267095,0.28852478,100200,477,,,
B-no_lhs,WP1,15,5,MULTIPLE_VARIANCE,uniform,comma,random,0.27209973,0.20224395,100200,477,,,
B-no_lhs,WP1,15,6,MULTIPLE_VARIANCE,uniform,comma,random,0.22432781,0.34230415,100200,477,,,
B-no_lhs,WP1,15,7,MULTIPLE_VARIANCE,uniform,comma,random,0.23816482,0.30173607,100200,477,,,
B-no_lhs,WP1,15,8,MULTIPLE_VARIANCE,uniform,comma,random,0.2305934,0.32393437,100200,477,,,
B-no_lhs,WP1,15,9,MULTIPLE_VARIANCE,uniform,comma,random,0.25425815,0.25455284,100200,477,,,
B-no_lhs,WP1,20,0,MULTIPLE_VARIANCE,uniform,comma,random,0.19916154,0.30511708,100200,477,,,
B-no_lhs,WP1,20,1,MULTIPLE_VARIANCE,uniform,comma,random,0.1487337,0.48106192,100200,477,,,
B-no_lhs,WP1,20,2,MULTIPLE_VARIANCE,uniform,comma,random,0.18170471,0.36602468,100200,477,,,
B-no_lhs,WP1,20,3,MULTIPLE_VARIANCE,uniform,comma,random,0.12619194,0.55971107,100200,477,,,
B-no_lhs,WP1,20,4,MULTIPLE_VARIANCE,uniform,comma,random,0.14012326,0.51110409,100200,477,,,
B-no_lhs,WP1,20,5,MULTIPLE_VARIANCE,uniform,comma,random,0.12013887,0.58083048,100200,477,,,
B-no_lhs,WP1,20,6,MULTIPLE_VARIANCE,uniform,comma,random,0.19669313,0.31372946,100200,477,,,
B-no_lhs,WP1,20,7,MULTIPLE_VARIANCE,uniform,comma,random,0.17965352,0.37318138,100200,477,,,
B-no_lhs,WP1,20,8,MULTIPLE_VARIANCE,uniform,comma,random,0.21023651,0.26647606,100200,477,,,
B-no_lhs,WP1,20,9,MULTIPLE_VARIANCE,uniform,comma,random,0.1638692,0.42825353,100200,477,,,
B-repair_clip,WP3,7,0,MULTIPLE_VARIANCE,lhs,comma,clip,0.50672102,0.05444571,100200,477,,,
B-repair_clip,WP3,7,1,MULTIPLE_VARIANCE,lhs,comma,clip,0.52187692,0.02616441,100200,477,,,
B-repair_clip,WP3,7,2,MULTIPLE_VARIANCE,lhs,comma,clip,0.52483563,0.02064338,100200,477,,,
B-repair_clip,WP3,7,3,MULTIPLE_VARIANCE,lhs,comma,clip,0.5355199,0.00070627,100200,477,7590,78990,
B-repair_clip,WP3,7,4,MULTIPLE_VARIANCE,lhs,comma,clip,0.51919657,0.031166,100200,477,,,
B-repair_clip,WP3,7,5,MULTIPLE_VARIANCE,lhs,comma,clip,0.51473489,0.03949161,100200,477,,,
B-repair_clip,WP3,7,6,MULTIPLE_VARIANCE,lhs,comma,clip,0.51646737,0.03625876,100200,477,,,
B-repair_clip,WP3,7,7,MULTIPLE_VARIANCE,lhs,comma,clip,0.51238083,0.04388435,100200,477,,,
B-repair_clip,WP3,7,8,MULTIPLE_VARIANCE,lhs,comma,clip,0.52113634,0.02754635,100200,477,,,
B-repair_clip,WP3,7,9,MULTIPLE_VARIANCE,lhs,comma,clip,0.51719361,0.03490359,100200,477,,,
B-repair_clip,WP3,10,0,MULTIPLE_VARIANCE,lhs,comma,clip,0.38478033,0.08663894,100200,477,,,
B-repair_clip,WP3,10,1,MULTIPLE_VARIANCE,lhs,comma,clip,0.3804153,0.09700031,100200,477,,,
B-repair_clip,WP3,10,2,MULTIPLE_VARIANCE,lhs,comma,clip,0.38227702,0.09258109,100200,477,,,
B-repair_clip,WP3,10,3,MULTIPLE_VARIANCE,lhs,comma,clip,0.36539206,0.13266129,100200,477,,,
B-repair_clip,WP3,10,4,MULTIPLE_VARIANCE,lhs,comma,clip,0.39857352,0.05389777,100200,477,,,
B-repair_clip,WP3,10,5,MULTIPLE_VARIANCE,lhs,comma,clip,0.36574203,0.13183054,100200,477,,,
B-repair_clip,WP3,10,6,MULTIPLE_VARIANCE,lhs,comma,clip,0.35485326,0.15767744,100200,477,,,
B-repair_clip,WP3,10,7,MULTIPLE_VARIANCE,lhs,comma,clip,0.39318043,0.06669944,100200,477,,,
B-repair_clip,WP3,10,8,MULTIPLE_VARIANCE,lhs,comma,clip,0.37319443,0.11414064,100200,477,,,
B-repair_clip,WP3,10,9,MULTIPLE_VARIANCE,lhs,comma,clip,0.39299026,0.06715086,100200,477,,,
B-repair_clip,WP3,15,0,MULTIPLE_VARIANCE,lhs,comma,clip,0.27714352,0.18745633,100200,477,,,
B-repair_clip,WP3,15,1,MULTIPLE_VARIANCE,lhs,comma,clip,0.30446161,0.10736373,100200,477,,,
B-repair_clip,WP3,15,2,MULTIPLE_VARIANCE,lhs,comma,clip,0.2578553,0.24400652,100200,477,,,
B-repair_clip,WP3,15,3,MULTIPLE_VARIANCE,lhs,comma,clip,0.26894277,0.21149969,100200,477,,,
B-repair_clip,WP3,15,4,MULTIPLE_VARIANCE,lhs,comma,clip,0.26130426,0.23389467,100200,477,,,
B-repair_clip,WP3,15,5,MULTIPLE_VARIANCE,lhs,comma,clip,0.27397628,0.1967422,100200,477,,,
B-repair_clip,WP3,15,6,MULTIPLE_VARIANCE,lhs,comma,clip,0.2673787,0.21608533,100200,477,,,
B-repair_clip,WP3,15,7,MULTIPLE_VARIANCE,lhs,comma,clip,0.26914299,0.21091267,100200,477,,,
