variant,n_circles,seed,evaluations,best_fitness
baseline,7,0,34470,0.52345803
baseline,7,0,34680,0.52345806
baseline,7,0,34890,0.52345808
baseline,7,0,35100,0.52345808
baseline,7,0,35310,0.52345807
baseline,7,0,35520,0.52345816
baseline,7,0,35730,0.52345813
baseline,7,0,35940,0.52345814
baseline,7,0,36150,0.52345811
baseline,7,0,36360,0.52345813
baseline,7,0,36570,0.52345814
baseline,7,0,36780,0.52345814
baseline,7,0,36990,0.52345824
baseline,7,0,37200,0.52345832
baseline,7,0,37410,0.52345820
baseline,7,0,37620,0.52345829
baseline,7,0,37830,0.52345821
baseline,7,0,38040,0.52345826
baseline,7,0,38250,0.52345824
baseline,7,0,38460,0.52345828
baseline,7,0,38670,0.52345829
baseline,7,0,38880,0.52345825
baseline,7,0,39090,0.52345833
baseline,7,0,39300,0.52345833
baseline,7,0,39510,0.52345836
baseline,7,0,39720,0.52345833
baseline,7,0,39930,0.52345839
baseline,7,0,40140,0.52345838
baseline,7,0,40350,0.52345844
baseline,7,0,40560,0.52345843
baseline,7,0,40770,0.52345836
baseline,7,0,40980,0.52345842
baseline,7,0,41190,0.52345842
baseline,7,0,41400,0.52345844
baseline,7,0,41610,0.52345848
baseline,7,0,41820,0.52345847
baseline,7,0,42030,0.52345849
baseline,7,0,42240,0.52345849
baseline,7,0,42450,0.52345853
baseline,7,0,42660,0.52345850
baseline,7,0,42870,0.52345861
baseline,7,0,43080,0.52345852
baseline,7,0,43290,0.52345863
baseline,7,0,43500,0.52345866
baseline,7,0,43710,0.52345866
baseline,7,0,43920,0.52345868
baseline,7,0,44130,0.52345866
baseline,7,0,44340,0.52345865
baseline,7,0,44550,0.52345866
baseline,7,0,44760,0.52345870
baseline,7,0,44970,0.52345869
baseline,7,0,45180,0.52345871
baseline,7,0,45390,0.52345873
baseline,7,0,45600,0.52345876
baseline,7,0,45810,0.52345873
baseline,7,0,46020,0.52345875
baseline,7,0,46230,0.52345877
baseline,7,0,46440,0.52345881
baseline,7,0,46650,0.52345877
baseline,7,0,46860,0.52345877
baseline,7,0,47070,0.52345883
baseline,7,0,47280,0.52345884
baseline,7,0,47490,0.52345877
baseline,7,0,47700,0.52345878
baseline,7,0,47910,0.52345888
baseline,7,0,48120,0.52345896
baseline,7,0,48330,0.52345895
baseline,7,0,48540,0.52345893
baseline,7,0,48750,0.52345887
baseline,7,0,48960,0.52345889
baseline,7,0,49170,0.52345888
baseline,7,0,49380,0.52345887
baseline,7,0,49590,0.52345901
baseline,7,0,49800,0.52345898
baseline,7,0,50010,0.52345894
baseline,7,0,50220,0.52345901
baseline,7,0,50430,0.52345902
baseline,7,0,50640,0.52345902
baseline,7,0,50850,0.52345903
baseline,7,0,51060,0.52345903
baseline,7,0,51270,0.52345904
baseline,7,0,51480,0.52345905
baseline,7,0,51690,0.52345906
baseline,7,0,51900,0.52345905
baseline,7,0,52110,0.52345906
baseline,7,0,52320,0.52345908
baseline,7,0,52530,0.52345912
