treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,WP1,15,7,SINGLE_VARIANCE,lhs,comma,off,0.29901934,0.12331966,100200,477,,,
baseline,WP1,15,8,SINGLE_VARIANCE,lhs,comma,off,0.27657006,0.1891376,100200,477,,,
baseline,WP1,15,9,SINGLE_VARIANCE,lhs,comma,off,0.28162339,0.17432199,100200,477,,,
baseline,WP1,15,10,SINGLE_VARIANCE,lhs,comma,off,0.29510975,0.13478201,100200,477,,,
baseline,WP1,15,11,SINGLE_VARIANCE,lhs,comma,off,0.2926862,0.14188748,100200,477,,,
baseline,WP1,15,12,SINGLE_VARIANCE,lhs,comma,off,0.29730876,0.12833483,100200,477,,,
baseline,WP1,15,13,SINGLE_VARIANCE,lhs,comma,off,0.29659437,0.1304293,100200,477,,,
baseline,WP1,15,14,SINGLE_VARIANCE,lhs,comma,off,0.28258454,0.17150404,100200,477,,,
baseline,WP1,15,15,SINGLE_VARIANCE,lhs,comma,off,0.27107636,0.20524431,100200,477,,,
baseline,WP1,15,16,SINGLE_VARIANCE,lhs,comma,off,0.27243668,0.20125607,100200,477,,,
baseline,WP1,15,17,SINGLE_VARIANCE,lhs,comma,off,0.28949779,0.15123542,100200,477,,,
baseline,WP1,15,18,SINGLE_VARIANCE,lhs,comma,off,0.28381779,0.16788835,100200,477,,,
baseline,WP1,15,19,SINGLE_VARIANCE,lhs,comma,off,0.28034786,0.17806165,100200,477,,,
baseline,WP1,15,20,SINGLE_VARIANCE,lhs,comma,off,0.27664876,0.18890688,100200,477,,,
baseline,WP1,15,21,SINGLE_VARIANCE,lhs,comma,off,0.26784095,0.21473008,100200,477,,,
baseline,WP1,15,22,SINGLE_VARIANCE,lhs,comma,off,0.28421694,0.1667181,100200,477,,,
baseline,WP1,15,23,SINGLE_VARIANCE,lhs,comma,off,0.2741213,0.19631701,100200,477,,,
baseline,WP1,15,24,SINGLE_VARIANCE,lhs,comma,off,0.26048819,0.23628726,100200,477,,,
baseline,WP1,20,0,SINGLE_VARIANCE,lhs,comma,off,0.23411743,0.18315453,100200,477,,,
baseline,WP1,20,1,SINGLE_VARIANCE,lhs,comma,off,0.2175195,0.24106539,100200,477,,,
baseline,WP1,20,2,SINGLE_VARIANCE,lhs,comma,off,0.23232512,0.18940797,100200,477,,,
baseline,WP1,20,3,SINGLE_VARIANCE,lhs,comma,off,0.22732579,0.20685086,100200,477,,,
